Account Transactions,,,,,,,,,
AustGrade Mascot Swimming Pty Ltd,,,,,,,,,
For the period 1 July 2025 to 30 June 2026,,,,,,,,,
,,,,,,,,,
"Account Type contains Asset, Liability, Equity",,,,,,,,,
,,,,,,,,,
Date,Source,Description,Reference,Debit,Credit,Running Balance,Gross,GST,Account
09 Sep 2025,Receive Money,SERVICE NSW,,150.00,0.00,"4,766.08",150.00,0.00,NAB- Austgrade 
09 Sep 2025,Payable Payment,Payment: IGA,,0.00,13.00,"4,753.08",(13.00),0.00,NAB- Austgrade 
10 Sep 2025,Receive Money,Ezidebit,,223.12,0.00,"4,976.20",223.12,0.00,NAB- Austgrade 
11 Sep 2025,Receive Money,Flexipay,,10.00,0.00,"4,986.20",10.00,0.00,NAB- Austgrade 
11 Sep 2025,Receive Money,Ezidebit,,83.12,0.00,"5,069.32",83.12,0.00,NAB- Austgrade 
12 Sep 2025,Payable Payment,Payment: KMART,,0.00,37.00,"5,032.32",(37.00),0.00,NAB- Austgrade 
15 Sep 2025,Receive Money,Ezidebit,,206.99,0.00,"5,239.31",206.99,0.00,NAB- Austgrade 
15 Sep 2025,Spend Money,INTERNET BPAY ASIC,,0.00,329.00,"4,910.31",(329.00),0.00,NAB- Austgrade 
15 Sep 2025,Receive Money,Flexipay,,16.00,0.00,"4,926.31",16.00,0.00,NAB- Austgrade 
15 Sep 2025,Receive Money,Flexipay,,30.00,0.00,"4,956.31",30.00,0.00,NAB- Austgrade 
16 Sep 2025,Receive Money,Service NSW AUSTGRADE,,100.00,0.00,"5,056.31",100.00,0.00,NAB- Austgrade 
16 Sep 2025,Receive Money,Flexipay,,15.00,0.00,"5,071.31",15.00,0.00,NAB- Austgrade 
16 Sep 2025,Spend Money,Icare Workers Insurance,,0.00,"1,765.54","3,305.77","(1,765.54)",0.00,NAB- Austgrade 
16 Sep 2025,Receive Money,Lin Li,,"10,000.00",0.00,"13,305.77","10,000.00",0.00,NAB- Austgrade 
16 Sep 2025,Spend Money,salary,,0.00,"10,485.74","2,820.03","(10,485.74)",0.00,NAB- Austgrade 
16 Sep 2025,Spend Money,Austgrade Top Ryde,,0.00,"1,000.00","1,820.03","(1,000.00)",0.00,NAB- Austgrade 
16 Sep 2025,Spend Money,Mario Alejandro Cruz,,0.00,"1,005.44",814.59,"(1,005.44)",0.00,NAB- Austgrade 
16 Sep 2025,Spend Money,Carolina Delgado,,0.00,452.40,362.19,(452.40),0.00,NAB- Austgrade 
16 Sep 2025,Spend Money,refund,,0.00,84.00,278.19,(84.00),0.00,NAB- Austgrade 
16 Sep 2025,Spend Money,juan Sebastian Valen,,0.00,780.00,(501.81),(780.00),0.00,NAB- Austgrade 
16 Sep 2025,Payable Payment,Payment: IGA,,0.00,7.20,(509.01),(7.20),0.00,NAB- Austgrade 
16 Sep 2025,Receive Money,Ezidebit,,590.65,0.00,81.64,590.65,0.00,NAB- Austgrade 
16 Sep 2025,Spend Money,MARIA CAMILLA RAMIREM,,0.00,300.00,(218.36),(300.00),0.00,NAB- Austgrade 
17 Sep 2025,Receive Money,SERVICE NSW,,50.00,0.00,(168.36),50.00,0.00,NAB- Austgrade 
17 Sep 2025,Spend Money,Budget Petrol,,0.00,104.65,(273.01),(104.65),0.00,NAB- Austgrade 
17 Sep 2025,Receive Money,Ezidebit,,890.68,0.00,617.67,890.68,0.00,NAB- Austgrade 
17 Sep 2025,Receive Money,Flexipay,,35.00,0.00,652.67,35.00,0.00,NAB- Austgrade 
17 Sep 2025,Payable Payment,Payment: AOZ PRINT AND GRAPHI,,0.00,12.50,640.17,(12.50),0.00,NAB- Austgrade 
18 Sep 2025,Payable Payment,Payment: ALDI STORES,,0.00,5.57,634.60,(5.57),0.00,NAB- Austgrade 
18 Sep 2025,Payable Payment,Payment: office,,0.00,1.65,632.95,(1.65),0.00,NAB- Austgrade 
18 Sep 2025,Receive Money,Ezidebit,,108.92,0.00,741.87,108.92,0.00,NAB- Austgrade 
18 Sep 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,548.90,(192.97),0.00,NAB- Austgrade 
18 Sep 2025,Receive Money,ATO,,928.00,0.00,"1,476.90",928.00,0.00,NAB- Austgrade 
19 Sep 2025,Receive Money,Flexipay,,66.95,0.00,"1,543.85",66.95,0.00,NAB- Austgrade 
19 Sep 2025,Receive Money,Ezidebit,,452.88,0.00,"1,996.73",452.88,0.00,NAB- Austgrade 
22 Sep 2025,Receive Money,Flexipay,,201.00,0.00,"2,197.73",201.00,0.00,NAB- Austgrade 
22 Sep 2025,Receive Money,Flexipay,,16.00,0.00,"2,213.73",16.00,0.00,NAB- Austgrade 
22 Sep 2025,Receive Money,Lin Li,,"3,393.00",0.00,"5,606.73","3,393.00",0.00,NAB- Austgrade 
22 Sep 2025,Receive Money,Flexipay,,50.00,0.00,"5,656.73",50.00,0.00,NAB- Austgrade 
22 Sep 2025,Receive Money,Ezidebit,,609.05,0.00,"6,265.78",609.05,0.00,NAB- Austgrade 
23 Sep 2025,Receive Money,Ezidebit,,308.85,0.00,"6,574.63",308.85,0.00,NAB- Austgrade 
23 Sep 2025,Receive Money,Flexipay,,16.00,0.00,"6,590.63",16.00,0.00,NAB- Austgrade 
24 Sep 2025,Receive Money,Flexipay,,294.93,0.00,"6,885.56",294.93,0.00,NAB- Austgrade 
24 Sep 2025,Receive Money,Ezidebit,,"54,831.32",0.00,"61,716.88","54,831.32",0.00,NAB- Austgrade 
25 Sep 2025,Receive Money,Ezidebit,,108.92,0.00,"61,825.80",108.92,0.00,NAB- Austgrade 
25 Sep 2025,Receive Money,Flexipay,,28.00,0.00,"61,853.80",28.00,0.00,NAB- Austgrade 
26 Sep 2025,Receive Money,Ezidebit,,138.92,0.00,"61,992.72",138.92,0.00,NAB- Austgrade 
26 Sep 2025,Receive Money,SERVICE NSW,,150.00,0.00,"62,142.72",150.00,0.00,NAB- Austgrade 
26 Sep 2025,Receive Money,Flexipay,,256.28,0.00,"62,399.00",256.28,0.00,NAB- Austgrade 
29 Sep 2025,Receivable Payment,Payment: Mika,INV-0047,"4,290.00",0.00,"66,689.00","4,290.00",0.00,NAB- Austgrade 
29 Sep 2025,Receive Money,Ezidebit,,203.12,0.00,"66,892.12",203.12,0.00,NAB- Austgrade 
29 Sep 2025,Receive Money,Flexipay,,192.04,0.00,"67,084.16",192.04,0.00,NAB- Austgrade 
30 Sep 2025,Receivable Payment,Payment: Auskor - ABN 39 199 641 813,INV-0048,"3,150.00",0.00,"70,234.16","3,150.00",0.00,NAB- Austgrade 
30 Sep 2025,Spend Money,Icare Workers Insurance,,0.00,516.32,"69,717.84",(516.32),0.00,NAB- Austgrade 
30 Sep 2025,Payable Payment,Payment: Budget Petrol,,0.00,89.70,"69,628.14",(89.70),0.00,NAB- Austgrade 
30 Sep 2025,Spend Money,Merchant Fee,,0.00,38.04,"69,590.10",(38.04),0.00,NAB- Austgrade 
30 Sep 2025,Spend Money,NAB,,0.00,18.99,"69,571.11",(18.99),0.00,NAB- Austgrade 
30 Sep 2025,Receive Money,Ezidebit,,347.02,0.00,"69,918.13",347.02,0.00,NAB- Austgrade 
01 Oct 2025,Receive Money,Ezidebit,,919.12,0.00,"70,837.25",919.12,0.00,NAB- Austgrade 
01 Oct 2025,Receive Money,SERVICE NSW,,250.00,0.00,"71,087.25",250.00,0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,Humm AUS solar panel payment,,0.00,8.00,"71,079.25",(8.00),0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,Swimbiz,,0.00,394.57,"70,684.68",(394.57),0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,SuperChoice,,0.00,"2,948.55","67,736.13","(2,948.55)",0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,Mario Alejandro Cruz,,0.00,802.75,"66,933.38",(802.75),0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,juan Sebastian Valen,,0.00,780.00,"66,153.38",(780.00),0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,MARIA CAMILLA RAMIREM,,0.00,600.00,"65,553.38",(600.00),0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,TAXIDEAS,,0.00,363.00,"65,190.38",(363.00),0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,salary,,0.00,"11,271.40","53,918.98","(11,271.40)",0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,Kevin Joyce,,0.00,275.00,"53,643.98",(275.00),0.00,NAB- Austgrade 
01 Oct 2025,Receive Money,Flexipay,,32.00,0.00,"53,675.98",32.00,0.00,NAB- Austgrade 
01 Oct 2025,Spend Money,Carolina Delgado,,0.00,155.10,"53,520.88",(155.10),0.00,NAB- Austgrade 
02 Oct 2025,Payable Payment,Payment: IGA,,0.00,35.06,"53,485.82",(35.06),0.00,NAB- Austgrade 
02 Oct 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"53,292.85",(192.97),0.00,NAB- Austgrade 
02 Oct 2025,Receive Money,Ezidebit,,594.12,0.00,"53,886.97",594.12,0.00,NAB- Austgrade 
03 Oct 2025,Receive Money,Service NSW AUSTGRADE,,200.00,0.00,"54,086.97",200.00,0.00,NAB- Austgrade 
03 Oct 2025,Receive Money,Ezidebit,,622.20,0.00,"54,709.17",622.20,0.00,NAB- Austgrade 
06 Oct 2025,Receive Money,Ezidebit,,288.24,0.00,"54,997.41",288.24,0.00,NAB- Austgrade 
06 Oct 2025,Payable Payment,Payment: KMART,,0.00,63.15,"54,934.26",(63.15),0.00,NAB- Austgrade 
06 Oct 2025,Receive Money,DONNA LOHMEYERA,,250.00,0.00,"55,184.26",250.00,0.00,NAB- Austgrade 
07 Oct 2025,Receive Money,Flexipay,,52.50,0.00,"55,236.76",52.50,0.00,NAB- Austgrade 
07 Oct 2025,Payable Payment,Payment: TELSTRA,K 991 687 951 Acc,0.00,113.98,"55,122.78",(113.98),0.00,NAB- Austgrade 
07 Oct 2025,Payable Payment,Payment: IGA,,0.00,2.59,"55,120.19",(2.59),0.00,NAB- Austgrade 
07 Oct 2025,Payable Payment,Payment: Budget Petrol,,0.00,89.70,"55,030.49",(89.70),0.00,NAB- Austgrade 
07 Oct 2025,Receive Money,Ezidebit,,256.78,0.00,"55,287.27",256.78,0.00,NAB- Austgrade 
07 Oct 2025,Payable Payment,Payment: IGA,,0.00,2.59,"55,284.68",(2.59),0.00,NAB- Austgrade 
08 Oct 2025,Receive Money,Ezidebit,,289.12,0.00,"55,573.80",289.12,0.00,NAB- Austgrade 
09 Oct 2025,Receive Money,Flexipay,,16.00,0.00,"55,589.80",16.00,0.00,NAB- Austgrade 
09 Oct 2025,Spend Money,Joanne mcnicholl,,0.00,144.20,"55,445.60",(144.20),0.00,NAB- Austgrade 
09 Oct 2025,Receive Money,Ezidebit,,132.24,0.00,"55,577.84",132.24,0.00,NAB- Austgrade 
09 Oct 2025,Receive Money,SERVICE NSW,,50.00,0.00,"55,627.84",50.00,0.00,NAB- Austgrade 
09 Oct 2025,Payable Payment,Payment: A J Duffy,92852,0.00,"16,956.49","38,671.35","(16,956.49)",0.00,NAB- Austgrade 
10 Oct 2025,Receive Money,Ezidebit,,760.32,0.00,"39,431.67",760.32,0.00,NAB- Austgrade 
10 Oct 2025,Payable Payment,Payment: officework,1017804535,0.00,96.00,"39,335.67",(96.00),0.00,NAB- Austgrade 
10 Oct 2025,Receive Money,Flexipay,,40.00,0.00,"39,375.67",40.00,0.00,NAB- Austgrade 
13 Oct 2025,Receive Money,Flexipay,,32.50,0.00,"39,408.17",32.50,0.00,NAB- Austgrade 
13 Oct 2025,Receive Money,Ezidebit,,89.12,0.00,"39,497.29",89.12,0.00,NAB- Austgrade 
13 Oct 2025,Spend Money,Waster Pty Ltd,,0.00,147.40,"39,349.89",(147.40),0.00,NAB- Austgrade 
13 Oct 2025,Receive Money,Flexipay,,30.00,0.00,"39,379.89",30.00,0.00,NAB- Austgrade 
13 Oct 2025,Payable Payment,Payment: IGA,,0.00,14.40,"39,365.49",(14.40),0.00,NAB- Austgrade 
14 Oct 2025,Receive Money,Ezidebit,,139.12,0.00,"39,504.61",139.12,0.00,NAB- Austgrade 
14 Oct 2025,Spend Money,INTERNET BPAY ASIC,,0.00,329.00,"39,175.61",(329.00),0.00,NAB- Austgrade 
14 Oct 2025,Payable Payment,Payment: sydney Captin electrical and Handyman,800730,0.00,"23,584.00","15,591.61","(23,584.00)",0.00,NAB- Austgrade 
15 Oct 2025,Payable Payment,Payment: SPLITBOXES,,0.00,222.35,"15,369.26",(222.35),0.00,NAB- Austgrade 
15 Oct 2025,Spend Money,SuperChoice,,0.00,"1,396.31","13,972.95","(1,396.31)",0.00,NAB- Austgrade 
15 Oct 2025,Spend Money,salary,,0.00,"10,407.82","3,565.13","(10,407.82)",0.00,NAB- Austgrade 
15 Oct 2025,Receive Money,Flexipay,,36.00,0.00,"3,601.13",36.00,0.00,NAB- Austgrade 
15 Oct 2025,Receive Money,Ezidebit,,520.72,0.00,"4,121.85",520.72,0.00,NAB- Austgrade 
16 Oct 2025,Receive Money,Flexipay,,35.00,0.00,"4,156.85",35.00,0.00,NAB- Austgrade 
16 Oct 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"3,963.88",(192.97),0.00,NAB- Austgrade 
16 Oct 2025,Payable Payment,Payment: IGA,,0.00,46.94,"3,916.94",(46.94),0.00,NAB- Austgrade 
16 Oct 2025,Receive Money,Ezidebit,,"1,160.06",0.00,"5,077.00","1,160.06",0.00,NAB- Austgrade 
17 Oct 2025,Payable Payment,Payment: BUNNINGS,,0.00,188.85,"4,888.15",(188.85),0.00,NAB- Austgrade 
17 Oct 2025,Receive Money,Ezidebit,,770.99,0.00,"5,659.14",770.99,0.00,NAB- Austgrade 
20 Oct 2025,Receive Money,Ezidebit,,331.64,0.00,"5,990.78",331.64,0.00,NAB- Austgrade 
20 Oct 2025,Receive Money,Flexipay,,30.00,0.00,"6,020.78",30.00,0.00,NAB- Austgrade 
20 Oct 2025,Receive Money,Flexipay,,51.00,0.00,"6,071.78",51.00,0.00,NAB- Austgrade 
20 Oct 2025,Payable Payment,Payment: Budget Petrol,,0.00,89.70,"5,982.08",(89.70),0.00,NAB- Austgrade 
20 Oct 2025,Receive Money,Flexipay,,16.00,0.00,"5,998.08",16.00,0.00,NAB- Austgrade 
21 Oct 2025,Payable Payment,Payment: IGA,,0.00,7.20,"5,990.88",(7.20),0.00,NAB- Austgrade 
21 Oct 2025,Receive Money,Flexipay,,30.00,0.00,"6,020.88",30.00,0.00,NAB- Austgrade 
21 Oct 2025,Receive Money,Ezidebit,,810.33,0.00,"6,831.21",810.33,0.00,NAB- Austgrade 
22 Oct 2025,Spend Money,ONLINE Y2945203633 Mascot to Aroona AUSTGRADE M,,0.00,"5,000.00","1,831.21","(5,000.00)",0.00,NAB- Austgrade 
22 Oct 2025,Receive Money,Ezidebit,,57.62,0.00,"1,888.83",57.62,0.00,NAB- Austgrade 
22 Oct 2025,Payable Payment,Payment: BUNNINGS,,0.00,146.86,"1,741.97",(146.86),0.00,NAB- Austgrade 
24 Oct 2025,Receive Money,Ezidebit,,"59,356.10",0.00,"61,098.07","59,356.10",0.00,NAB- Austgrade 
24 Oct 2025,Payable Payment,Payment: AOZ PRINT AND GRAPHI,,0.00,165.00,"60,933.07",(165.00),0.00,NAB- Austgrade 
27 Oct 2025,Receive Money,Flexipay,,42.00,0.00,"60,975.07",42.00,0.00,NAB- Austgrade 
27 Oct 2025,Receive Money,SERVICE NSW,,100.00,0.00,"61,075.07",100.00,0.00,NAB- Austgrade 
27 Oct 2025,Receive Money,Ezidebit,,487.12,0.00,"61,562.19",487.12,0.00,NAB- Austgrade 
27 Oct 2025,Payable Payment,Payment: KMART,,0.00,39.65,"61,522.54",(39.65),0.00,NAB- Austgrade 
28 Oct 2025,Spend Money,salary,,0.00,"10,015.25","51,507.29","(10,015.25)",0.00,NAB- Austgrade 
28 Oct 2025,Spend Money,SuperChoice,,0.00,"1,372.48","50,134.81","(1,372.48)",0.00,NAB- Austgrade 
28 Oct 2025,Receive Money,Flexipay,,40.00,0.00,"50,174.81",40.00,0.00,NAB- Austgrade 
28 Oct 2025,Spend Money,juan Sebastian Valen,,0.00,840.00,"49,334.81",(840.00),0.00,NAB- Austgrade 
28 Oct 2025,Spend Money,Mavi Catherine Guate,,0.00,427.50,"48,907.31",(427.50),0.00,NAB- Austgrade 
28 Oct 2025,Spend Money,MARIA CAMILLA RAMIREM,,0.00,457.50,"48,449.81",(457.50),0.00,NAB- Austgrade 
28 Oct 2025,Spend Money,Carolina Delgado,,0.00,155.10,"48,294.71",(155.10),0.00,NAB- Austgrade 
29 Oct 2025,Receive Money,Ezidebit,,225.47,0.00,"48,520.18",225.47,0.00,NAB- Austgrade 
29 Oct 2025,Spend Money,ONLINE J6289145852 Mascot to... Transfer Debit,,0.00,"10,000.00","38,520.18","(10,000.00)",0.00,NAB- Austgrade 
30 Oct 2025,Spend Money,NAB,,0.00,19.49,"38,500.69",(19.49),0.00,NAB- Austgrade 
30 Oct 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"38,307.72",(192.97),0.00,NAB- Austgrade 
30 Oct 2025,Receive Money,Ezidebit,,39.12,0.00,"38,346.84",39.12,0.00,NAB- Austgrade 
30 Oct 2025,Receive Money,SERVICE NSW,,350.00,0.00,"38,696.84",350.00,0.00,NAB- Austgrade 
31 Oct 2025,Spend Money,Icare Workers Insurance,,0.00,516.32,"38,180.52",(516.32),0.00,NAB- Austgrade 
31 Oct 2025,Payable Payment,Payment: Cincotta Discount,,0.00,17.36,"38,163.16",(17.36),0.00,NAB- Austgrade 
31 Oct 2025,Spend Money,Merchant Fee,,0.00,25.17,"38,137.99",(25.17),0.00,NAB- Austgrade 
31 Oct 2025,Payable Payment,Payment: Budget Petrol,,0.00,89.70,"38,048.29",(89.70),0.00,NAB- Austgrade 
31 Oct 2025,Receive Money,Ezidebit,,464.48,0.00,"38,512.77",464.48,0.00,NAB- Austgrade 
31 Oct 2025,Receive Money,Flexipay,,40.00,0.00,"38,552.77",40.00,0.00,NAB- Austgrade 
03 Nov 2025,Spend Money,TAXIDEAS,,0.00,363.00,"38,189.77",(363.00),0.00,NAB- Austgrade 
03 Nov 2025,Receive Money,Flexipay,,396.45,0.00,"38,586.22",396.45,0.00,NAB- Austgrade 
03 Nov 2025,Receive Money,Flexipay,,138.04,0.00,"38,724.26",138.04,0.00,NAB- Austgrade 
03 Nov 2025,Spend Money,Kevin Joyce,,0.00,495.00,"38,229.26",(495.00),0.00,NAB- Austgrade 
03 Nov 2025,Spend Money,136760482 THINKSMART SOFTW AUSTGRADE MASCOT,,0.00,406.72,"37,822.54",(406.72),0.00,NAB- Austgrade 
03 Nov 2025,Receive Money,Flexipay,,194.88,0.00,"38,017.42",194.88,0.00,NAB- Austgrade 
03 Nov 2025,Spend Money,Origin Energy,,0.00,"7,354.66","30,662.76","(7,354.66)",0.00,NAB- Austgrade 
03 Nov 2025,Spend Money,Humm AUS solar panel payment,,0.00,8.00,"30,654.76",(8.00),0.00,NAB- Austgrade 
03 Nov 2025,Receive Money,Ezidebit,,179.12,0.00,"30,833.88",179.12,0.00,NAB- Austgrade 
04 Nov 2025,Receive Money,Flexipay,,16.00,0.00,"30,849.88",16.00,0.00,NAB- Austgrade 
04 Nov 2025,Receive Money,Ezidebit,,136.10,0.00,"30,985.98",136.10,0.00,NAB- Austgrade 
04 Nov 2025,Spend Money,TELSTRA,,0.00,190.00,"30,795.98",(190.00),0.00,NAB- Austgrade 
05 Nov 2025,Receive Money,SERVICE NSW,,350.00,0.00,"31,145.98",350.00,0.00,NAB- Austgrade 
05 Nov 2025,Receive Money,Ezidebit,,128.56,0.00,"31,274.54",128.56,0.00,NAB- Austgrade 
05 Nov 2025,Receive Money,Flexipay,,20.00,0.00,"31,294.54",20.00,0.00,NAB- Austgrade 
06 Nov 2025,Receive Money,Ezidebit,,649.56,0.00,"31,944.10",649.56,0.00,NAB- Austgrade 
07 Nov 2025,Receive Money,SERVICE NSW,,550.00,0.00,"32,494.10",550.00,0.00,NAB- Austgrade 
07 Nov 2025,Receive Money,Ezidebit,,386.30,0.00,"32,880.40",386.30,0.00,NAB- Austgrade 
07 Nov 2025,Receive Money,Flexipay,,56.00,0.00,"32,936.40",56.00,0.00,NAB- Austgrade 
10 Nov 2025,Receive Money,Flexipay,,46.00,0.00,"32,982.40",46.00,0.00,NAB- Austgrade 
10 Nov 2025,Payable Payment,Payment: Budget Petrol,,0.00,89.70,"32,892.70",(89.70),0.00,NAB- Austgrade 
10 Nov 2025,Receive Money,Ezidebit,,89.12,0.00,"32,981.82",89.12,0.00,NAB- Austgrade 
10 Nov 2025,Receive Money,Flexipay,,321.03,0.00,"33,302.85",321.03,0.00,NAB- Austgrade 
11 Nov 2025,Receive Money,Ezidebit,,139.12,0.00,"33,441.97",139.12,0.00,NAB- Austgrade 
11 Nov 2025,Payable Payment,Payment: Kevin Joyce,INV-43766,0.00,346.50,"33,095.47",(346.50),0.00,NAB- Austgrade 
11 Nov 2025,Payable Payment,Payment: Kmartphotos,,0.00,12.75,"33,082.72",(12.75),0.00,NAB- Austgrade 
11 Nov 2025,Spend Money,Origin Energy,,0.00,"2,422.98","30,659.74","(2,422.98)",0.00,NAB- Austgrade 
11 Nov 2025,Receive Money,Flexipay,,83.56,0.00,"30,743.30",83.56,0.00,NAB- Austgrade 
12 Nov 2025,Spend Money,salary,,0.00,"11,180.71","19,562.59","(11,180.71)",0.00,NAB- Austgrade 
12 Nov 2025,Spend Money,Carolina Delgado,,0.00,315.00,"19,247.59",(315.00),0.00,NAB- Austgrade 
12 Nov 2025,Spend Money,MARIO ALEJANDRO,,0.00,"1,022.26","18,225.33","(1,022.26)",0.00,NAB- Austgrade 
12 Nov 2025,Receive Money,Ezidebit,,638.75,0.00,"18,864.08",638.75,0.00,NAB- Austgrade 
12 Nov 2025,Receive Money,Flexipay,,36.00,0.00,"18,900.08",36.00,0.00,NAB- Austgrade 
12 Nov 2025,Spend Money,SuperChoice,,0.00,"1,488.91","17,411.17","(1,488.91)",0.00,NAB- Austgrade 
12 Nov 2025,Spend Money,G18 discount market,,0.00,6.07,"17,405.10",(6.07),0.00,NAB- Austgrade 
12 Nov 2025,Spend Money,MARIA CAMILLA RAMIR,,0.00,600.00,"16,805.10",(600.00),0.00,NAB- Austgrade 
12 Nov 2025,Spend Money,MAVI CATHERINE,,0.00,585.00,"16,220.10",(585.00),0.00,NAB- Austgrade 
12 Nov 2025,Spend Money,JUAN SEBASTIAN VALE,,0.00,780.00,"15,440.10",(780.00),0.00,NAB- Austgrade 
13 Nov 2025,Payable Payment,Payment: IGA,,0.00,16.90,"15,423.20",(16.90),0.00,NAB- Austgrade 
13 Nov 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"15,230.23",(192.97),0.00,NAB- Austgrade 
13 Nov 2025,Receive Money,Flexipay,,170.86,0.00,"15,401.09",170.86,0.00,NAB- Austgrade 
13 Nov 2025,Payable Payment,Payment: Iceberg refrigeration,4315,0.00,"2,690.60","12,710.49","(2,690.60)",0.00,NAB- Austgrade 
13 Nov 2025,Payable Payment,Payment: Waster Pty Ltd,00128995,0.00,147.40,"12,563.09",(147.40),0.00,NAB- Austgrade 
14 Nov 2025,Receive Money,Ezidebit,,59.12,0.00,"12,622.21",59.12,0.00,NAB- Austgrade 
14 Nov 2025,Receive Money,Flexipay,,51.00,0.00,"12,673.21",51.00,0.00,NAB- Austgrade 
17 Nov 2025,Receive Money,Flexipay,,400.09,0.00,"13,073.30",400.09,0.00,NAB- Austgrade 
17 Nov 2025,Payable Payment,Payment: Cincotta Discount,,0.00,48.97,"13,024.33",(48.97),0.00,NAB- Austgrade 
17 Nov 2025,Receive Money,Flexipay,,472.91,0.00,"13,497.24",472.91,0.00,NAB- Austgrade 
17 Nov 2025,Payable Payment,Payment: IGA,,0.00,12.00,"13,485.24",(12.00),0.00,NAB- Austgrade 
17 Nov 2025,Spend Money,G18 discount market,,0.00,20.22,"13,465.02",(20.22),0.00,NAB- Austgrade 
17 Nov 2025,Payable Payment,Payment: JB HI FI,,0.00,69.90,"13,395.12",(69.90),0.00,NAB- Austgrade 
17 Nov 2025,Receive Money,Ezidebit,,509.62,0.00,"13,904.74",509.62,0.00,NAB- Austgrade 
18 Nov 2025,Payable Payment,Payment: officework,,0.00,144.00,"13,760.74",(144.00),0.00,NAB- Austgrade 
18 Nov 2025,Spend Money,igs,,0.00,5.08,"13,755.66",(5.08),0.00,NAB- Austgrade 
18 Nov 2025,Receive Money,Flexipay,,85.43,0.00,"13,841.09",85.43,0.00,NAB- Austgrade 
18 Nov 2025,Receive Money,Ezidebit,,943.32,0.00,"14,784.41",943.32,0.00,NAB- Austgrade 
19 Nov 2025,Receivable Payment,Payment: Auskor - ABN 39 199 641 813,INV-0049,"3,562.50",0.00,"18,346.91","3,562.50",0.00,NAB- Austgrade 
19 Nov 2025,Receive Money,Ezidebit,,368.49,0.00,"18,715.40",368.49,0.00,NAB- Austgrade 
19 Nov 2025,Payable Payment,Payment: Budget Petrol,,0.00,104.65,"18,610.75",(104.65),0.00,NAB- Austgrade 
19 Nov 2025,Receive Money,Flexipay,,127.53,0.00,"18,738.28",127.53,0.00,NAB- Austgrade 
20 Nov 2025,Receive Money,Flexipay,,306.28,0.00,"19,044.56",306.28,0.00,NAB- Austgrade 
20 Nov 2025,Receive Money,Ezidebit,,116.48,0.00,"19,161.04",116.48,0.00,NAB- Austgrade 
21 Nov 2025,Receive Money,Ezidebit,,359.52,0.00,"19,520.56",359.52,0.00,NAB- Austgrade 
21 Nov 2025,Receive Money,Flexipay,,16.00,0.00,"19,536.56",16.00,0.00,NAB- Austgrade 
24 Nov 2025,Receive Money,Ezidebit,,"1,436.77",0.00,"20,973.33","1,436.77",0.00,NAB- Austgrade 
24 Nov 2025,Receive Money,Flexipay,,26.00,0.00,"20,999.33",26.00,0.00,NAB- Austgrade 
24 Nov 2025,Spend Money,refund,,0.00,150.00,"20,849.33",(150.00),0.00,NAB- Austgrade 
24 Nov 2025,Receive Money,Flexipay,,20.00,0.00,"20,869.33",20.00,0.00,NAB- Austgrade 
25 Nov 2025,Spend Money,BUNNINGS,,0.00,56.91,"20,812.42",(56.91),0.00,NAB- Austgrade 
25 Nov 2025,Receive Money,Flexipay,,30.00,0.00,"20,842.42",30.00,0.00,NAB- Austgrade 
25 Nov 2025,Receive Money,Ezidebit,,163.57,0.00,"21,005.99",163.57,0.00,NAB- Austgrade 
26 Nov 2025,Spend Money,MARIO ALEJANDRO,,0.00,"1,022.26","19,983.73","(1,022.26)",0.00,NAB- Austgrade 
26 Nov 2025,Spend Money,MARIA CAMILLA RAMIR,,0.00,600.00,"19,383.73",(600.00),0.00,NAB- Austgrade 
26 Nov 2025,Receive Money,Ezidebit,,"44,034.08",0.00,"63,417.81","44,034.08",0.00,NAB- Austgrade 
26 Nov 2025,Spend Money,salary,,0.00,"12,054.49","51,363.32","(12,054.49)",0.00,NAB- Austgrade 
26 Nov 2025,Spend Money,MAVI CATHERINE,,0.00,600.00,"50,763.32",(600.00),0.00,NAB- Austgrade 
26 Nov 2025,Spend Money,JUAN SEBASTIAN VALE,,0.00,780.00,"49,983.32",(780.00),0.00,NAB- Austgrade 
26 Nov 2025,Spend Money,SuperChoice,,0.00,"1,660.85","48,322.47","(1,660.85)",0.00,NAB- Austgrade 
27 Nov 2025,Spend Money,Humm AUS solar panel payment,,0.00,192.97,"48,129.50",(192.97),0.00,NAB- Austgrade 
27 Nov 2025,Receive Money,Ezidebit,,81.16,0.00,"48,210.66",81.16,0.00,NAB- Austgrade 
